INFO  2022-09-02 17:24:25,957 647516ms FlightSearchServices   SearchMultiTicket  - Search End
DEBUG 2022-09-02 17:24:26,263 647823ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=35
DEBUG 2022-09-02 17:24:26,264 647824ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=36
DEBUG 2022-09-02 17:24:26,265 647825ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=37
DEBUG 2022-09-02 17:24:26,267 647827ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=38
DEBUG 2022-09-02 17:24:26,269 647829ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=39
DEBUG 2022-09-02 17:24:26,270 647830ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=40
DEBUG 2022-09-02 17:24:26,271 647831ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=41
DEBUG 2022-09-02 17:24:26,272 647832ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=42
DEBUG 2022-09-02 17:24:26,274 647834ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=43
DEBUG 2022-09-02 17:24:26,277 647837ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=44
DEBUG 2022-09-02 17:24:26,278 647838ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=45
DEBUG 2022-09-02 17:24:26,279 647839ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=46
DEBUG 2022-09-02 17:24:26,281 647841ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=47
DEBUG 2022-09-02 17:24:26,282 647842ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=48
DEBUG 2022-09-02 17:24:26,283 647843ms FlightSearchServices   SearchMultiTicket  - multiTicketFlightList.Count=48
DEBUG 2022-09-02 17:24:26,301 647861ms FlightSearchServices   SearchMultiTicket  - UK-KLM UK
DEBUG 2022-09-02 17:24:26,302 647862ms FlightSearchServices   SearchMultiTicket  - AI-Air India
DEBUG 2022-09-02 17:24:26,303 647863ms FlightSearchServices   SearchMultiTicket  - W2-Canadian Western Airline
DEBUG 2022-09-02 17:24:26,303 647863ms FlightSearchServices   SearchMultiTicket  - VJ-VietJet Aviation
DEBUG 2022-09-02 17:24:26,304 647864ms FlightSearchServices   SearchMultiTicket  - TG-Thai Airways Intl
DEBUG 2022-09-02 17:24:26,304 647864ms FlightSearchServices   SearchMultiTicket  - OD-Malindo Airways
DEBUG 2022-09-02 17:24:26,305 647865ms FlightSearchServices   SearchMultiTicket  - H1-Hahn Air
DEBUG 2022-09-02 17:24:26,305 647865ms FlightSearchServices   SearchMultiTicket  - UL-Srilankan Airlines
DEBUG 2022-09-02 17:24:26,306 647866ms FlightSearchServices   SearchMultiTicket  - MH-Malaysia Airlines
DEBUG 2022-09-02 17:24:26,306 647866ms FlightSearchServices   SearchMultiTicket  - BG-Biman Bangladesh Airline
DEBUG 2022-09-02 17:24:26,306 647866ms FlightSearchServices   SearchMultiTicket  - SQ-Singapore Airlines
DEBUG 2022-09-02 17:24:26,307 647867ms FlightSearchServices   SearchMultiTicket  - WY-Oman Air
DEBUG 2022-09-02 17:24:26,308 647868ms FlightSearchServices   SearchMultiTicket  - QR-Qatar Airways
DEBUG 2022-09-02 17:24:26,309 647869ms FlightSearchServices   SearchMultiTicket  - EK-Emirates
DEBUG 2022-09-02 17:24:26,310 647870ms FlightSearchServices   SearchMultiTicket  - OZ-Asiana Airlines
DEBUG 2022-09-02 17:24:26,310 647870ms FlightSearchServices   SearchMultiTicket  - AY-Finnair
DEBUG 2022-09-02 17:24:26,311 647871ms FlightSearchServices   SearchMultiTicket  - TK-Turkish Airlines
DEBUG 2022-09-02 17:24:26,311 647871ms FlightSearchServices   SearchMultiTicket  - LH-Lufthansa
DEBUG 2022-09-02 17:24:26,312 647872ms FlightSearchServices   SearchMultiTicket  - NH-All Nippon Airways
DEBUG 2022-09-02 17:24:26,368 647927ms FlightSearchServices   SearchMultiTicket  - FlightSearchMultiTicket
DEBUG 2022-09-02 17:24:26,520 648080ms FlightSearchServices   SearchMultiTicket  - Insert FlightSearchMultiTicket
DEBUG 2022-09-02 17:24:26,546 648106ms FlightSearchServices   SearchMultiTicket  - END Insert FlightSearchMultiTicket
INFO  2022-09-02 17:24:26,546 648106ms FlightSearchServices   SearchMultiTicket  - Convert to our object End
DEBUG 2022-09-02 17:24:26,663 648222ms hMultiTicketController Post               - SEARCH SERVICE END
DEBUG 2022-09-02 17:24:43,961 665521ms HeaderAuth             Authorize          - Authorize
DEBUG 2022-09-02 17:24:43,961 665521ms HeaderAuth             Authorize          - contain Authorize
DEBUG 2022-09-02 17:24:43,962 665522ms HeaderAuth             Authorize          - found bearer
DEBUG 2022-09-02 17:24:43,966 665526ms icketPricingController Post               - dataConfig.ConfigValue=BKKOK27U5
DEBUG 2022-09-02 17:24:43,984 665544ms HttpUtility            postJSON           - start post json
DEBUG 2022-09-02 17:24:45,229 666789ms HttpUtility            postJSON           - end 1 post json
DEBUG 2022-09-02 17:24:45,229 666789ms HttpUtility            postJSON           - end 2 post json
DEBUG 2022-09-02 17:24:45,230 666790ms HttpUtility            postJSON           - end 3 post json
INFO  2022-09-02 17:24:45,230 666790ms FlightSearchServices   InformativePricing - INFORMATIVE
DEBUG 2022-09-02 17:24:45,230 666790ms FlightSearchServices   InformativePricing - {"origin":"BKK","destination":"DEL","svc_class":null,"noOfAdults":1,"noOfChildren":0,"noOfInfants":0,"depTotalTime":"0430","retTotalTime":null,"multiTotalTime":null,"departureFlights":[{"departureDateTime":"2022-09-08T15:15:00","arrivalDateTime":"2022-09-08T18:15:00","departureCity":"BKK","arrivalCity":"DEL","companyCode":"UK","flightNumber":"122","RBDCode":"V","operatedBy":"UK","_equibment":"320","_fb":"VLOTHYV","_ft":"RP"}],"returnFlights":null,"multiFlights":null,"session":{"isStateFull":true,"InSeries":false,"End":false,"SessionId":"","SequenceNumber":"","SecurityToken":"","TransactionStatusCode":null},"useBookingOfficeID":false,"bookingOID":"BKKOK27U5","nounce":null,"signature":null,"tripType":"O","ClientIP":"","PricingTicketingIndicators":["RP"],"userEmail":null,"depRefNumber":"1","retRefNumber":null,"depFlightType":"A","retFlightType":null,"dep_pgSearchOID":"26db138e-3150-41d8-8bac-4ceb46f1c8c3","ret_pgSearchOID":null}
DEBUG 2022-09-02 17:24:45,231 666791ms FlightSearchServices   InformativePricing - {"Fare_InformativePricingWithoutPNRReply":{"@xmlns":"","messageDetails":{"messageFunctionDetails":{"businessFunction":"1","messageFunction":"741","responsibleAgency":"1A"},"responseType":"A"},"mainGroup":{"dummySegment":"","convertionRate":{"conversionRateDetails":{"rateType":"USR","pricingAmount":"36.301040","dutyTaxFeeType":"TH"}},"generalIndicatorsGroup":{"generalIndicators":{"priceTicketDetails":{"indicators":"I"}}},"pricingGroupLevelGroup":{"numberOfPax":{"segmentControlDetails":{"quantity":"1","numberOfUnits":"1"}},"passengersID":{"travellerDetails":{"measurementValue":"1"}},"fareInfoGroup":{"emptySegment":"","pricingIndicators":{"priceTariffType":"I","productDateTimeDetails":{"departureDate":"080922"},"companyDetails":{"otherCompany":"UK"}},"fareAmount":{"monetaryDetails":{"typeQualifier":"B","amount":"5050","currency":"THB"},"otherMonetaryDetails":{"typeQualifier":"712","amount":"5865","currency":"THB"}},"textData":[{"freeTextQualification":{"textSubjectQualifier":"4","informationType":"15"},"freeText":"08SEP22BKK UK DEL Q41.32 97.79NUC139.11END ROE36.301040"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1P3"},"freeText":"PENALTY APPLIES"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"10"},"freeText":"NON ENDORSABLE RE-ROUTABLE REBOOKING SBJCT TO PENALTY"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A49"},"freeText":" - DATE OF ORIGIN"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"FARE FAMILIES:    (ENTER FQFn FOR DETAILS, FXY FOR UPSELL)"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"FARE FAMILY:FC1:1:ECOYV"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"TICKET STOCK RESTRICTION"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"BG CXR: UK"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"PRICED WITH VALIDATING CARRIER UK - REPRICE IF DIFFERENT VC"}],"offerReferences":{"offerIdentifier":{"uniqueOfferReference":"SP1P-11298168985001113756-1-OI1-AI1"}},"surchargesGroup":{"taxesAmount":{"taxDetails":[{"rate":"40","countryCode":"YR","type":"VA"},{"rate":"25","countryCode":"YR","type":"VB"},{"rate":"35","countryCode":"E7","type":"AP"},{"rate":"15","countryCode":"G8","type":"DP"},{"rate":"700","countryCode":"TS","type":"LA"}]},"penaltiesAmount":{"discountPenaltyQualifier":"700","discountPenaltyDetails":{"amount":"5385","currency":"THB"}}},"segmentLevelGroup":{"segmentInformation":{"flightDate":{"departureDate":"080922"},"boardPointDetails":{"trueLocationId":"BKK"},"offpointDetails":{"trueLocationId":"DEL"},"companyDetails":{"marketingCompany":"UK"},"flightIdentification":{"flightNumber":"122","bookingClass":"V","operationalSuffix":"X"},"itemNumber":"1"},"additionalInformation":{"productDateTimeDetails":{"departureDate":"080922","arrivalDate":"080922"},"idNumber":"YV"},"fareBasis":{"additionalFareDetails":{"rateClass":"VLOTHYV","secondRateClass":"V"}},"cabinGroup":{"cabinSegment":{"bookingClassDetails":{"designator":"V","option":"M"}}},"baggageAllowance":{"baggageDetails":{"freeAllowance":"30","quantityCode":"700"}},"ptcSegment":{"quantityDetails":{"numberOfUnit":"1","unitQualifier":"ADT"}}},"fareComponentDetailsGroup":{"fareComponentID":{"itemNumberDetails":{"number":"1","type":"FC"}},"marketFareComponent":{"boardPointDetails":{"trueLocationId":"BKK"},"offpointDetails":{"trueLocationId":"DEL"}},"monetaryInformation":{"monetaryDetails":{"typeQualifier":"TFC","amount":"97.79","currency":"NUC"}},"componentClassInfo":{"fareBasisDetails":{"rateTariffClass":"VLOTHYV","otherRateTariffClass":"YV"}},"fareQualifiersDetail":{"discountDetails":{"fareQualifier":"756"}},"fareFamilyDetails":{"fareFamilyname":"ECOYV"},"fareFamilyOwner":{"companyIdentification":{"otherCompany":"UK"}},"couponDetailsGroup":{"productId":{"referenceDetails":{"type":"ST","value":"1"}}}}}}},"Session":{"@TransactionStatusCode":"InSeries","SessionId":"01BXGEBPIN","SequenceNumber":"1","SecurityToken":"2ANZIMBZ390YC1Y1PKFMVAULGT"}}}
DEBUG 2022-09-02 17:24:45,294 666854ms FlightSearchServices   InformativePricing - bCheckQTax=True
DEBUG 2022-09-02 17:24:45,345 666904ms MarkupServices         GetMarkup          - C_FARENET!=null
DEBUG 2022-09-02 17:24:45,356 666915ms HttpUtility            postJSON           - start post json
DEBUG 2022-09-02 17:24:46,379 667939ms HttpUtility            postJSON           - end 1 post json
DEBUG 2022-09-02 17:24:46,379 667939ms HttpUtility            postJSON           - end 2 post json
DEBUG 2022-09-02 17:24:46,379 667939ms HttpUtility            postJSON           - end 3 post json
DEBUG 2022-09-02 17:33:57,487  1160ms HeaderAuth             Authorize          - Authorize
DEBUG 2022-09-02 17:33:57,510  1183ms HeaderAuth             Authorize          - contain Authorize
DEBUG 2022-09-02 17:33:57,510  1183ms HeaderAuth             Authorize          - found bearer
DEBUG 2022-09-02 17:33:57,535  1208ms icketPricingController Post               - dataConfig.ConfigValue=BKKOK27U5
DEBUG 2022-09-02 17:33:57,591  1264ms HttpUtility            postJSON           - start post json
DEBUG 2022-09-02 17:33:59,470  3143ms HttpUtility            postJSON           - end 1 post json
DEBUG 2022-09-02 17:33:59,470  3143ms HttpUtility            postJSON           - end 2 post json
DEBUG 2022-09-02 17:33:59,471  3144ms HttpUtility            postJSON           - end 3 post json
INFO  2022-09-02 17:33:59,471  3144ms FlightSearchServices   InformativePricing - INFORMATIVE
DEBUG 2022-09-02 17:33:59,472  3145ms FlightSearchServices   InformativePricing - {"origin":"BKK","destination":"DEL","svc_class":null,"noOfAdults":1,"noOfChildren":0,"noOfInfants":0,"depTotalTime":"0430","retTotalTime":null,"multiTotalTime":null,"departureFlights":[{"departureDateTime":"2022-09-08T15:15:00","arrivalDateTime":"2022-09-08T18:15:00","departureCity":"BKK","arrivalCity":"DEL","companyCode":"UK","flightNumber":"122","RBDCode":"V","operatedBy":"UK","_equibment":"320","_fb":"VLOTHYV","_ft":"RP"}],"returnFlights":null,"multiFlights":null,"session":{"isStateFull":true,"InSeries":false,"End":false,"SessionId":"","SequenceNumber":"","SecurityToken":"","TransactionStatusCode":null},"useBookingOfficeID":false,"bookingOID":"BKKOK27U5","nounce":null,"signature":null,"tripType":"O","ClientIP":"","PricingTicketingIndicators":["RP"],"userEmail":null,"depRefNumber":"1","retRefNumber":null,"depFlightType":"A","retFlightType":null,"dep_pgSearchOID":"26db138e-3150-41d8-8bac-4ceb46f1c8c3","ret_pgSearchOID":null}
DEBUG 2022-09-02 17:33:59,472  3145ms FlightSearchServices   InformativePricing - {"Fare_InformativePricingWithoutPNRReply":{"@xmlns":"","messageDetails":{"messageFunctionDetails":{"businessFunction":"1","messageFunction":"741","responsibleAgency":"1A"},"responseType":"A"},"mainGroup":{"dummySegment":"","convertionRate":{"conversionRateDetails":{"rateType":"USR","pricingAmount":"36.301040","dutyTaxFeeType":"TH"}},"generalIndicatorsGroup":{"generalIndicators":{"priceTicketDetails":{"indicators":"I"}}},"pricingGroupLevelGroup":{"numberOfPax":{"segmentControlDetails":{"quantity":"1","numberOfUnits":"1"}},"passengersID":{"travellerDetails":{"measurementValue":"1"}},"fareInfoGroup":{"emptySegment":"","pricingIndicators":{"priceTariffType":"I","productDateTimeDetails":{"departureDate":"080922"},"companyDetails":{"otherCompany":"UK"}},"fareAmount":{"monetaryDetails":{"typeQualifier":"B","amount":"5050","currency":"THB"},"otherMonetaryDetails":{"typeQualifier":"712","amount":"5865","currency":"THB"}},"textData":[{"freeTextQualification":{"textSubjectQualifier":"4","informationType":"15"},"freeText":"08SEP22BKK UK DEL Q41.32 97.79NUC139.11END ROE36.301040"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1P3"},"freeText":"PENALTY APPLIES"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"10"},"freeText":"NON ENDORSABLE RE-ROUTABLE REBOOKING SBJCT TO PENALTY"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A49"},"freeText":" - DATE OF ORIGIN"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"FARE FAMILIES:    (ENTER FQFn FOR DETAILS, FXY FOR UPSELL)"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"FARE FAMILY:FC1:1:ECOYV"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"TICKET STOCK RESTRICTION"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"BG CXR: UK"},{"freeTextQualification":{"textSubjectQualifier":"1","informationType":"1A0"},"freeText":"PRICED WITH VALIDATING CARRIER UK - REPRICE IF DIFFERENT VC"}],"offerReferences":{"offerIdentifier":{"uniqueOfferReference":"SP2P-14616517757305128699-1-OI1-AI1"}},"surchargesGroup":{"taxesAmount":{"taxDetails":[{"rate":"40","countryCode":"YR","type":"VA"},{"rate":"25","countryCode":"YR","type":"VB"},{"rate":"35","countryCode":"E7","type":"AP"},{"rate":"15","countryCode":"G8","type":"DP"},{"rate":"700","countryCode":"TS","type":"LA"}]},"penaltiesAmount":{"discountPenaltyQualifier":"700","discountPenaltyDetails":{"amount":"5385","currency":"THB"}}},"segmentLevelGroup":{"segmentInformation":{"flightDate":{"departureDate":"080922"},"boardPointDetails":{"trueLocationId":"BKK"},"offpointDetails":{"trueLocationId":"DEL"},"companyDetails":{"marketingCompany":"UK"},"flightIdentification":{"flightNumber":"122","bookingClass":"V","operationalSuffix":"X"},"itemNumber":"1"},"additionalInformation":{"productDateTimeDetails":{"departureDate":"080922","arrivalDate":"080922"},"idNumber":"YV"},"fareBasis":{"additionalFareDetails":{"rateClass":"VLOTHYV","secondRateClass":"V"}},"cabinGroup":{"cabinSegment":{"bookingClassDetails":{"designator":"V","option":"M"}}},"baggageAllowance":{"baggageDetails":{"freeAllowance":"30","quantityCode":"700"}},"ptcSegment":{"quantityDetails":{"numberOfUnit":"1","unitQualifier":"ADT"}}},"fareComponentDetailsGroup":{"fareComponentID":{"itemNumberDetails":{"number":"1","type":"FC"}},"marketFareComponent":{"boardPointDetails":{"trueLocationId":"BKK"},"offpointDetails":{"trueLocationId":"DEL"}},"monetaryInformation":{"monetaryDetails":{"typeQualifier":"TFC","amount":"97.79","currency":"NUC"}},"componentClassInfo":{"fareBasisDetails":{"rateTariffClass":"VLOTHYV","otherRateTariffClass":"YV"}},"fareQualifiersDetail":{"discountDetails":{"fareQualifier":"756"}},"fareFamilyDetails":{"fareFamilyname":"ECOYV"},"fareFamilyOwner":{"companyIdentification":{"otherCompany":"UK"}},"couponDetailsGroup":{"productId":{"referenceDetails":{"type":"ST","value":"1"}}}}}}},"Session":{"@TransactionStatusCode":"InSeries","SessionId":"01CG76W8PL","SequenceNumber":"1","SecurityToken":"OQ0IUU4P0Y61TGFQJJVI9W9D"}}}
DEBUG 2022-09-02 17:33:59,581  3254ms FlightSearchServices   InformativePricing - bCheckQTax=True
DEBUG 2022-09-02 17:33:59,629  3302ms MarkupServices         GetMarkup          - C_FARENET==null
DEBUG 2022-09-02 17:33:59,666  3339ms HttpUtility            postJSON           - start post json
DEBUG 2022-09-02 17:34:00,722  4395ms HttpUtility            postJSON           - end 1 post json
DEBUG 2022-09-02 17:34:00,723  4396ms HttpUtility            postJSON           - end 2 post json
DEBUG 2022-09-02 17:34:00,723  4396ms HttpUtility            postJSON           - end 3 post json
